id,name,type,ra_hours,dec_deg,mag,size_arcmin,constellation,description
Abell 1,PK 119+6.1,PN,0.21167,67.5333,15.4,1.1,Cas,Slabá planetární mlhovina vhodná pro dlouhé úzkopásmo
Abell 2,PK 122-4.1,PN,0.75667,58.3833,14.5,0.5,Cas,Malá planetární mlhovina vhodná pro detailní foto
Abell 3,PK 131+2.1,PN,2.16333,64.0333,14.9,1.5,Cas,Slabá mlhovina vhodná pro úzkopásmové snímky
Abell 4,PK 144-15.1,PN,2.75667,42.5500,16.7,0.4,Per,Velmi slabá mlhovina vhodná pro dlouhé expozice
Abell 5,PK 151+3.1,PN,3.52333,56.9167,15.8,1.2,Per,Slabá planetární mlhovina vhodná pro úzkopásmo
Abell 6,PK 136+4.1,PN,2.97333,64.4833,15.0,3.0,Cas,Větší slabá mlhovina vhodná pro dlouhé úzkopásmo
Abell 7,PK 215-30.1,PN,5.05000,-15.6000,13.2,12.7,Lep,Velká rozptýlená mlhovina ideální pro široká pole
Abell 8,PK 167-0.1,PN,5.29167,46.1500,16.6,0.9,Aur,Slabá mlhovina vhodná pro úzkopásmové snímky
Abell 9,PK 171-2.1,PN,5.55667,42.4333,18.0,0.6,Aur,Extrémně slabá mlhovina vyžadující dlouhé expozice
Abell 10,PK 197-14.1,PN,5.53000,6.1333,14.0,0.5,Ori,Malá planetární mlhovina vhodná pro detailní foto
Abell 11,PK 204-8.1,PN,6.04167,6.8500,16.0,0.2,Ori,Velmi slabá kompaktní mlhovina pro úzkopásmo
Abell 12,PK 198-6.1,PN,6.04000,9.9667,13.9,0.6,Ori,Malá mlhovina poblíž jasné hvězdy vhodná pro úzkopásmo
Abell 13,PK 204-4.1,PN,6.13167,8.8167,15.3,2.8,Ori,Slabá rozlehlá mlhovina vhodná pro dlouhé expozice
Abell 14,PK 197-3.1,PN,6.09167,14.0500,16.4,0.4,Ori,Velmi slabá mlhovina vhodná pro úzkopásmo
Abell 15,PK 233-16.1,PN,6.44667,-25.3833,15.6,0.6,CMa,Slabá planetární mlhovina vhodná pro detailní snímky
Abell 16,PK 235-3.1,PN,7.31167,-19.7833,14.6,1.4,Pup,Slabá mlhovina vhodná pro úzkopásmové foto
Abell 17,PK 247+2.1,PN,8.12500,-25.1833,15.8,2.2,Pup,Slabá rozlehlá mlhovina vhodná pro dlouhé expozice
Abell 18,PK 254+5.1,PN,8.53000,-28.9167,14.4,0.3,Pyx,Malá slabá mlhovina vhodná pro detailní úzkopásmo
Abell 19,PK 253+10.1,PN,8.71833,-23.4167,15.2,1.2,Pyx,Slabá mlhovina vhodná pro dlouhé expozice
Abell 20,PK 214+43.1,PN,9.65333,1.0333,14.0,0.9,Sex,Malá mlhovina vhodná pro úzkopásmové snímky
Abell 21,Medusa Nebula,PN,7.48500,13.2500,10.3,13.0,Gem,Velká filamentární mlhovina ideální pro úzkopásmo
Abell 22,PK 249+35.1,PN,10.14167,-16.1500,16.0,0.2,Hya,Velmi slabá kompaktní mlhovina vhodná pro dlouhé expozice
Abell 23,PK 249+41.1,PN,10.26833,-12.3500,15.8,0.5,Hya,Slabá mlhovina vhodná pro úzkopásmo
Abell 24,PK 217+46.1,PN,10.26333,18.2500,13.8,1.2,LMi,Slabá mlhovina vhodná pro delší expozice
Abell 25,PK 268+31.1,PN,11.23333,-29.4167,14.6,0.3,Hya,Malá slabá mlhovina vhodná pro detailní foto
Abell 26,PK 283+25.1,PN,12.06667,-36.8833,16.1,1.1,Hya,Slabá mlhovina vhodná pro dlouhé úzkopásmo
Abell 27,PK 286+19.1,PN,12.16333,-43.3333,15.0,0.2,Cen,Velmi slabá mlhovina vhodná pro detailní snímky
Abell 28,PK 303+40.1,PN,12.44167,-22.4500,13.5,2.4,Crv,Slabá rozlehlá mlhovina vhodná pro dlouhé expozice
Abell 29,PK 303+36.1,PN,12.59333,-26.6000,15.0,2.1,Vir,Slabá mlhovina vhodná pro úzkopásmo
Abell 30,PK 208+33.1,PN,8.78333,17.8667,13.0,2.1,Cnc,Slabá mlhovina s vnitřní strukturou vhodná pro úzkopásmo
Abell 31,PK 219+31.1,PN,8.90333,8.9500,12.2,16.0,Cnc,Obrovská planetární mlhovina ideální pro široká pole
Abell 32,PK 238+34.1,PN,9.54167,-4.8833,15.0,0.2,Sex,Velmi malá slabá mlhovina vhodná pro detailní foto
Abell 33,PK 238+34.1,PN,9.65167,-2.8167,12.1,4.5,Hya,Kulatá mlhovina s výrazným okrajem ideální pro úzkopásmo
Abell 34,PK 248+29.1,PN,9.76167,-13.1667,13.5,8.8,Hya,Velká slabá mlhovina vhodná pro dlouhé expozice
Abell 35,PK 303+40.1,PN,12.87167,-22.8833,12.7,15.3,Hya,Velká difúzní mlhovina ideální pro široká pole
Abell 36,PK 318+41.1,PN,13.67833,-19.8667,11.8,7.3,Vir,Slabá mlhovina vhodná pro úzkopásmové snímky
Abell 37,IC 972,PN,14.07333,-17.1500,13.9,1.1,Vir,Malá mlhovina vhodná pro detailní foto
