id,name,type,ra_hours,dec_deg,mag,size_arcmin,constellation,description
Arp 1,NGC 2857,GAL,9.4100,49.3500,12.5,2.3,UMa,Spirála s nízkou plošnou jasností
Arp 2,UGC 10310,GAL,16.2700,47.0333,14.5,1.2,Dra,Spirála s nízkou plošnou jasností
Arp 3,UGC 10310,GAL,16.2717,47.0500,14.6,1.1,Dra,Nízká jasnost - fragmentovaná
Arp 4,UGC 3730,GAL,7.2917,73.7167,14.0,2.1,Cam,Spirála s nízkou plošnou jasností
Arp 5,NGC 3664,GAL,11.4117,3.3167,12.6,2.0,Leo,Nízká jasnost - rozptýlená
Arp 6,NGC 2537,GAL,8.2200,45.9833,11.7,1.7,Lyn,Galaxie Medvědí tlapka
Arp 7,UGC 2489,GAL,3.0367,35.3167,14.5,1.5,Per,Spirála s nízkou plošnou jasností
Arp 8,NGC 497,GAL,1.3717,-0.3833,13.0,2.1,Cet,Spirála s rozštěpeným ramenem
Arp 9,UGC 2461,GAL,3.0133,2.4167,14.0,1.3,Cet,Spirála s rozštěpeným ramenem
Arp 10,UGC 1775,GAL,2.3167,18.2667,13.7,1.8,Ari,Spirála s rozštěpeným ramenem
Arp 11,UGC 717,GAL,1.1567,14.5333,14.2,1.5,Psc,Spirála s rozštěpeným ramenem
Arp 12,NGC 2608,GAL,8.5867,28.4667,12.2,2.3,Cnc,Spirála s rozštěpeným ramenem
Arp 13,NGC 7448,GAL,23.0000,15.9667,11.4,2.7,Peg,Spirála s oddělenými segmenty
Arp 14,NGC 7314,GAL,22.5950,-26.0500,10.9,4.6,PsA,Spirála s oddělenými segmenty
Arp 15,NGC 7393,GAL,22.8583,-5.2000,12.8,2.0,Aqr,Spirála s oddělenými segmenty
Arp 16,NGC 3664,GAL,11.4117,3.3167,12.6,2.0,Leo,Spirála s oddělenými segmenty
Arp 17,UGC 3972,GAL,7.7017,71.3000,14.8,1.2,Cam,Spirála s oddělenými segmenty
Arp 18,NGC 4088,GAL,12.0933,50.5333,10.6,5.8,UMa,Výrazná asymetrie ramen
Arp 19,NGC 145,GAL,0.5283,-5.1500,12.7,1.6,Cet,Tříramenná spirála
Arp 20,UGC 3013,GAL,4.3533,5.1000,14.5,1.1,Ori,Tříramenná spirála
Arp 21,UGC 10043,GAL,15.8117,21.8667,14.4,1.4,Ser,Tříramenná spirála
Arp 22,NGC 4027,GAL,11.9900,-19.2667,11.2,3.2,Crv,Jednoramenná spirála
Arp 23,NGC 4618,GAL,12.6933,41.1500,10.8,4.2,CVn,Jednoramenná spirála
Arp 24,NGC 3445,GAL,10.9067,56.9833,12.3,1.6,UMa,Jednoramenná spirála
Arp 25,NGC 2276,GAL,7.4550,85.7500,11.3,2.6,Cep,Jednoramenná spirála
Arp 26,M101,GAL,14.0533,54.3500,7.9,28.8,UMa,Větrník - asymetrické rameno
Arp 27,NGC 3631,GAL,11.3500,53.2000,10.1,5.0,UMa,Spirála s jedním těžkým ramenem
Arp 28,NGC 7678,GAL,23.4750,22.4167,11.8,2.3,Peg,Spirála s jedním těžkým ramenem
Arp 29,NGC 6946,GAL,20.5817,60.1500,8.8,11.2,Cep,Ohňostroj - jedno těžké rameno
Arp 30,NGC 6365,GAL,17.3717,62.1667,13.9,1.1,Dra,Jedno rameno směřující k doprovodu
Arp 31,IC 167,GAL,1.9200,21.8500,13.1,3.0,Ari,Integrální spirála
Arp 32,UGC 10770,GAL,17.2033,59.3333,14.6,1.3,Dra,Integrální spirála
Arp 33,UGC 8613,GAL,13.6217,31.6667,14.8,1.2,CVn,Integrální spirála
Arp 34,NGC 4615,GAL,12.6917,26.0667,13.1,1.6,Com,Integrální spirála
Arp 35,UGC 212,GAL,0.3667,30.1167,14.5,1.4,And,Integrální spirála
Arp 36,UGC 8548,GAL,13.5667,31.4167,15.0,0.9,CVn,Integrální spirála
Arp 37,M77,GAL,2.7117,-0.0167,8.9,7.1,Cet,Spirála s vnitřní strukturou
Arp 38,NGC 6412,GAL,17.4950,75.7000,11.6,2.5,Dra,Spirála s nízkou plošnou jasností
Arp 39,NGC 1347,GAL,3.4950,-22.2833,13.0,1.5,Eri,Spirála se společníkem na rameni
Arp 40,IC 4231,GAL,13.2617,-26.3000,13.4,1.4,Hya,Spirála se společníkem na rameni
Arp 41,NGC 1232,GAL,3.1633,-20.5833,9.8,7.4,Eri,Spirála se společníkem na rameni
Arp 42,NGC 5829,GAL,15.0450,23.3333,13.1,2.3,Boo,Společník na konci ramene
Arp 43,IC 607,GAL,10.4033,16.7500,13.5,1.3,Leo,Společník na konci ramene
Arp 44,IC 607,GAL,10.4033,16.7500,13.5,1.3,Leo,Společník na konci ramene
Arp 45,UGC 9178,GAL,14.3683,51.7167,14.3,1.5,Boo,Spirála se společníkem na rameni
Arp 46,UGC 12665,GAL,23.5617,15.1167,14.5,1.1,Peg,Společník na rameni
Arp 47,UGC 10738,GAL,17.1617,59.3667,15.1,1.0,Dra,Spirála se společníkem na rameni
Arp 48,UGC 10791,GAL,17.2283,59.3167,15.1,0.8,Dra,Spirála se společníkem na rameni
Arp 49,NGC 5665,GAL,14.5417,8.0833,12.0,2.1,Boo,Společník na rameni
Arp 50,IC 1245,GAL,17.2083,61.2167,14.6,0.9,Dra,Společník na konci ramene
Arp 51,UGC 12601,GAL,23.4717,15.3167,14.5,1.1,Peg,Společník na rameni
Arp 52,UGC 957,GAL,1.4117,35.4500,15.1,1.0,And,Společník na konci ramene
