id,name,type,ra_hours,dec_deg,mag,size_arcmin,constellation,description
B 1,Barnard 1,DN,3.5333,31.0333,0,15.0,Per,Temná mlhovina v Perseu vhodná pro široká pole
B 2,Barnard 2,DN,3.5517,31.2500,0,10.0,Per,Malá temná skvrna vhodná pro detailní snímky
B 3,Barnard 3,DN,3.5850,31.0667,0,15.0,Per,Protažený prachový pás vhodný pro široká pole
B 4,Barnard 4,DN,3.6167,31.0000,0,10.0,Per,Temná mlhovina v molekulárním mračnu Perseu
B 5,Barnard 5,DN,3.7917,32.8833,0,15.0,Per,Výrazná temná mlhovina vhodná pro široká pole
B 6,Barnard 6,DN,4.1333,28.2333,0,15.0,Tau,Temná mlhovina v Býku vhodná pro široká pole
B 7,Barnard 7,DN,4.2833,28.4167,0,30.0,Tau,Velký prachový komplex vhodný pro široká pole
B 8,Barnard 8,DN,4.3667,26.4167,0,10.0,Tau,Malá temná skvrna vhodná pro detailní snímky
B 9,Barnard 9,DN,4.5000,28.1667,0,15.0,Tau,Kompaktní temná mlhovina vhodná pro detailní foto
B 10,Barnard 10,DN,4.3117,25.4167,0,10.0,Tau,Temný zářez v poli vhodný pro kontrastní snímky
B 11,Barnard 11,DN,4.4000,24.8333,0,12.0,Tau,Prachová mlhovina vhodná pro široká pole
B 12,Barnard 12,DN,4.4667,24.3333,0,10.0,Tau,Temná mlhovina poblíž NGC 1647 vhodná pro široká pole
B 13,Barnard 13,DN,4.5667,25.6667,0,10.0,Tau,Temná mlhovina na hranici s Vozkou
B 14,Barnard 14,DN,4.6500,24.2500,0,15.0,Tau,Neprůhledná temná skvrna vhodná pro kontrastní snímky
B 15,Barnard 15,DN,4.7333,25.1667,0,12.0,Tau,Temná mlhovina v Býku vhodná pro široká pole
B 16,Barnard 16,DN,4.8167,24.1667,0,10.0,Tau,Prachová mlhovina vhodná pro detailní snímky
B 17,Barnard 17,DN,4.9000,26.1667,0,10.0,Tau,Slabší temná mlhovina vhodná pro delší expozice
B 18,Barnard 18,DN,4.5333,24.3667,0,60.0,Tau,Obří prachový komplex vhodný pro široká pole
B 19,Barnard 19,DN,4.5833,24.2500,0,20.0,Tau,Součást komplexu B18 vhodná pro široká pole
B 20,Barnard 20,DN,5.5517,25.4333,0,15.0,Tau,Temná mlhovina poblíž IC 443 vhodná pro široká pole
B 21,Barnard 21,DN,5.6333,25.1167,0,10.0,Tau,Temná skvrna vhodná pro detailní snímky
B 22,Barnard 22,DN,5.7167,24.6667,0,15.0,Tau,Prachové mračno vhodné pro široká pole
B 23,Barnard 23,DN,5.7833,24.1667,0,10.0,Tau,Temná mlhovina vhodná pro detailní foto
B 24,Barnard 24,DN,5.8833,23.1667,0,10.0,Tau,Temná mlhovina na hranici Býka a Oriona
B 25,Barnard 25,DN,5.9167,24.0000,0,12.0,Tau,Prachová mlhovina vhodná pro široká pole
B 26,Barnard 26,DN,6.1000,23.5000,0,10.0,Gem,Temná mlhovina v Blížencích vhodná pro detailní snímky
B 27,Barnard 27,DN,6.1333,23.1667,0,12.0,Gem,Temná skvrna poblíž vdB 43 vhodná pro detailní foto
B 28,Barnard 28,DN,6.1833,23.3333,0,10.0,Gem,Prachová mlhovina vhodná pro delší expozice
B 29,Barnard 29,DN,6.2333,22.8333,0,15.0,Gem,Temná mlhovina vhodná pro široká pole
B 30,Barnard 30,DN,5.5167,9.1500,0,30.0,Ori,Temná mlhovina u Meissy vhodná pro široká pole
B 31,Barnard 31,DN,5.5333,9.5000,0,15.0,Ori,Součást prstence Lambda Orionis vhodná pro široká pole
B 32,Barnard 32,DN,5.5500,9.3333,0,15.0,Ori,Temný zářez v Sh2‑264 vhodný pro kontrastní snímky
B 33,Horsehead,DN,5.6817,-2.4583,0,6.0,Ori,Koňská hlava – ikonická temná mlhovina vhodná pro detailní foto
B 34,Barnard 34,DN,5.7333,32.5000,0,20.0,Aur,Temná mlhovina ve Vozkovi vhodná pro široká pole
B 35,Barnard 35,DN,5.7500,9.0333,0,15.0,Ori,Výrazná temná kapka vhodná pro kontrastní snímky
B 36,Barnard 36,DN,5.7833,8.8333,0,10.0,Ori,Malá temná mlhovina vhodná pro detailní foto
B 37,Barnard 37,DN,6.1167,14.7167,0,15.0,Gem,Temná mlhovina v Blížencích vhodná pro široká pole
B 38,Barnard 38,DN,6.2500,12.1667,0,12.0,Mon,Temný prach v Jednorožci vhodný pro delší expozice
B 39,Barnard 39,DN,6.2833,12.0000,0,10.0,Mon,Temná skvrna poblíž vdB 46 vhodná pro detailní foto
B 40,Barnard 40,DN,6.4833,10.3333,0,15.0,Mon,Temná mlhovina u NGC 2264 vhodná pro široká pole
B 41,Barnard 41,DN,6.5833,9.8333,0,12.0,Mon,Součást komplexu v Jednorožci vhodná pro široká pole
B 42,Barnard 42,DN,16.4267,-23.5333,0,15.0,Oph,Temná mlhovina v Rho Ophiuchi vhodná pro detailní foto
B 43,Barnard 43,DN,16.5500,-23.1667,0,10.0,Oph,Temný prach vhodný pro detailní snímky
B 44,Barnard 44,DN,16.5833,-24.1667,0,60.0,Oph,Dlouhý temný filament vhodný pro široká pole
B 45,Barnard 45,DN,16.6333,-24.5000,0,15.0,Oph,Součást komplexu Rho Oph vhodná pro široká pole
B 46,Barnard 46,DN,17.2117,-24.2167,0,15.0,Oph,Temná mlhovina poblíž M8 vhodná pro široká pole
B 47,Barnard 47,DN,17.2667,-24.6667,0,10.0,Oph,Temný prach vhodný pro detailní snímky
B 48,Barnard 48,DN,17.3117,-25.1667,0,12.0,Oph,Prach poblíž NGC 6334 vhodný pro široká pole
B 49,Barnard 49,DN,17.3833,-25.8333,0,15.0,Sco,Temná mlhovina v Štíru vhodná pro široká pole
B 50,Barnard 50,DN,17.4333,-25.5000,0,10.0,Sco,Prach u centra Galaxie vhodný pro detailní foto
B 51,Barnard 51,DN,17.4833,-25.1667,0,12.0,Sco,Temná mlhovina v bohatém poli Štíra
B 52,Barnard 52,DN,17.5167,-24.8333,0,10.0,Sco,Malá prachová skvrna vhodná pro detailní snímky
B 53,Barnard 53,DN,17.5500,-25.3333,0,15.0,Sco,Temný zářez v Mléčné dráze vhodný pro široká pole
B 54,Barnard 54,DN,17.5833,-25.6667,0,10.0,Sco,Prachová mlhovina vhodná pro detailní foto
B 55,Barnard 55,DN,17.6167,-25.1667,0,12.0,Sgr,Prachové mračno vhodné pro široká pole
B 56,Barnard 56,DN,17.6500,-24.8333,0,10.0,Sgr,Temná mlhovina vhodná pro detailní snímky
B 57,Barnard 57,DN,17.6833,-24.5000,0,15.0,Sgr,Výrazná temná skvrna vhodná pro široká pole
B 58,Barnard 58,DN,17.7167,-24.1667,0,10.0,Sgr,Prach poblíž M8 vhodný pro detailní foto
B 59,Pipe Nebula,DN,17.1867,-27.4500,0,60.0,Oph,Mlhovina Dýmka – výrazný temný komplex vhodný pro široká pole
B 60,Barnard 60,DN,17.2167,-27.1667,0,15.0,Oph,Součást mlhoviny Dýmka vhodná pro široká pole
B 61,Barnard 61,DN,17.2500,-26.8333,0,12.0,Oph,Součást Dýmky vhodná pro detailní snímky
B 62,Barnard 62,DN,17.3167,-26.5000,0,15.0,Oph,Temná mlhovina v Dýmce vhodná pro široká pole
B 63,Barnard 63,DN,17.3667,-26.1667,0,20.0,Oph,Výrazný prachový pruh vhodný pro široká pole
B 64,Barnard 64,DN,17.2917,-18.4500,0,15.0,Oph,Temná mlhovina v severním Hadonoši
B 65,Barnard 65,DN,17.3833,-27.3333,0,10.0,Oph,Temná skvrna vhodná pro detailní snímky
B 66,Barnard 66,DN,17.4333,-27.1667,0,12.0,Oph,Součást komplexu Dýmky vhodná pro široká pole
B 67,Barnard 67,DN,17.4667,-26.8333,0,15.0,Oph,Výrazná část těla Dýmky vhodná pro široká pole
B 68,Dark Molecular Cloud,DN,17.3767,-23.7167,0,4.0,Oph,Izolovaná neprůhledná temná koule vhodná pro detailní foto
B 69,Barnard 69,DN,17.4167,-23.1667,0,10.0,Oph,Temná mlhovina poblíž B68 vhodná pro detailní snímky
B 70,Barnard 70,DN,17.4500,-23.3333,0,12.0,Oph,Kompaktní prachové mračno vhodné pro detailní foto
B 71,Barnard 71,DN,17.4833,-23.0000,0,10.0,Oph,Temná skvrna vhodná pro detailní snímky
B 72,Snake Nebula,DN,17.3917,-23.6333,0,30.0,Oph,Mlhovina Had – výrazný temný filament vhodný pro široká pole
B 73,Barnard 73,DN,17.4167,-22.8333,0,10.0,Oph,Temná mlhovina vhodná pro detailní foto
B 74,Barnard 74,DN,17.4500,-22.6667,0,12.0,Oph,Prachová mlhovina vhodná pro široká pole
B 75,Barnard 75,DN,17.5167,-22.3333,0,15.0,Oph,Protažená temná mlhovina vhodná pro široká pole
B 76,Barnard 76,DN,17.5333,-22.1667,0,10.0,Oph,Temná skvrna vhodná pro detailní snímky
B 77,Barnard 77,DN,17.5667,-21.8333,0,12.0,Oph,Prachová mlhovina vhodná pro široká pole
B 78,Barnard 78,DN,17.5833,-26.3333,0,60.0,Oph,Mísa mlhoviny Dýmka vhodná pro široká pole
B 79,Barnard 79,DN,17.6167,-21.5000,0,10.0,Oph,Temná mlhovina vhodná pro detailní foto
B 80,Barnard 80,DN,17.6500,-21.3333,0,12.0,Sgr,Temná skvrna v Střelci vhodná pro detailní snímky
B 81,Barnard 81,DN,17.6833,-21.0000,0,10.0,Sgr,Temný prach vhodný pro detailní snímky
B 82,Barnard 82,DN,17.7167,-20.8333,0,15.0,Sgr,Temná mlhovina vhodná pro široká pole
B 83,Barnard 83,DN,17.7500,-20.5000,0,12.0,Sgr,Prachové mračno vhodné pro delší expozice
B 84,Barnard 84,DN,17.7833,-20.3333,0,10.0,Sgr,Temná skvrna poblíž M20 vhodná pro detailní foto
B 85,Barnard 85,DN,18.0467,-23.0333,0,10.0,Sgr,Temná mlhovina uvnitř Trifidu vhodná pro kontrastní snímky
B 86,Ink Spot,DN,18.0500,-26.8667,0,5.0,Sgr,Velmi tmavá „inkoustová“ skvrna vhodná pro detailní foto
B 87,Barnard 87,DN,18.0717,-32.5000,0,20.0,Sgr,Papouščí zobák – výrazná temná mlhovina
B 88,Barnard 88,DN,18.1000,-24.1667,0,15.0,Sgr,Temná mlhovina severně od M8 vhodná pro široká pole
B 89,Barnard 89,DN,18.1333,-23.8333,0,10.0,Sgr,Temná skvrna vhodná pro detailní snímky
B 90,Barnard 90,DN,18.1667,-23.5000,0,12.0,Sgr,Prachové mračno vhodné pro delší expozice
B 91,Barnard 91,DN,18.2000,-23.1667,0,10.0,Sgr,Temná mlhovina vhodná pro detailní foto
B 92,Black Hole,DN,18.2583,-18.2167,0,15.0,Sgr,Černá díra v M24 – výrazný temný zářez
B 93,Barnard 93,DN,18.2817,-18.0667,0,15.0,Sgr,Temná skvrna na okraji M24 vhodná pro široká pole
B 94,Barnard 94,DN,18.3333,-17.1667,0,15.0,Sgr,Temná mlhovina vhodná pro delší expozice
B 95,Barnard 95,DN,18.3500,-16.8333,0,10.0,Sgr,Prachové mračno vhodné pro detailní snímky
B 96,Barnard 96,DN,18.3833,-16.5000,0,12.0,Sgr,Temná skvrna vhodná pro delší expozice
B 97,Barnard 97,DN,18.4167,-16.1667,0,10.0,Sgr,Temná mlhovina vhodná pro detailní foto
B 98,Barnard 98,DN,18.4500,-15.8333,0,12.0,Sgr,Prachové mračno vhodné pro delší expozice
B 99,Barnard 99,DN,18.4833,-15.5000,0,10.0,Sgr,Temná mlhovina vhodná pro detailní snímky
B 100,Barnard 100,DN,18.5167,-15.1667,0,15.0,Sgr,Temná mlhovina vhodná pro široká pole
B 101,Barnard 101,DN,18.5333,-15.0000,0,12.0,Sgr,Temná mlhovina v severním Střelci
B 102,Barnard 102,DN,18.5667,-14.6667,0,10.0,Sgr,Malá prachová skvrna vhodná pro detailní foto
B 103,Barnard 103,DN,18.6000,-14.3333,0,15.0,Sgr,Temný zářez v Mléčné dráze vhodný pro široká pole
B 104,Barnard 104,DN,18.7833,-10.4167,0,15.0,Sct,Temná mlhovina ve Štítu vhodná pro široká pole
B 105,Barnard 105,DN,18.8167,-10.8333,0,10.0,Sct,Prachové pole vhodné pro detailní snímky
B 106,Barnard 106,DN,18.8500,-11.1667,0,12.0,Sct,Temná skvrna poblíž M11 vhodná pro detailní foto
B 107,Barnard 107,DN,18.8833,-11.5000,0,10.0,Sct,Prachové mračno ve Štítu
B 108,Barnard 108,DN,18.9167,-10.5000,0,15.0,Sct,Výrazná temná mlhovina vhodná pro široká pole
B 109,Barnard 109,DN,18.9500,-10.1667,0,10.0,Sct,Temná skvrna vhodná pro detailní snímky
B 110,Barnard 110,DN,18.9667,-4.8333,0,15.0,Sct,Temná mlhovina v severním Štítu
B 111,Barnard 111,DN,18.9833,-4.5000,0,20.0,Sct,Rozlehlý prachový komplex vhodný pro široká pole
B 112,Barnard 112,DN,19.0167,-4.1667,0,12.0,Aql,Temná mlhovina na hranici Orla
B 113,Barnard 113,DN,19.0500,-3.8333,0,10.0,Aql,Temná skvrna vhodná pro detailní foto
B 114,Barnard 114,DN,19.1167,-1.8333,0,60.0,Aql,Dlouhý prachový filament vhodný pro široká pole
B 115,Barnard 115,DN,19.1333,-1.5000,0,15.0,Aql,Součást komplexu B114 vhodná pro široká pole
B 116,Barnard 116,DN,19.1667,-1.1667,0,12.0,Aql,Temná mlhovina vhodná pro detailní snímky
B 117,Barnard 117,DN,19.2000,-0.8333,0,15.0,Aql,Prachové mračno vhodné pro široká pole
B 118,Barnard 118,DN,19.2167,-0.5000,0,10.0,Aql,Temná skvrna vhodná pro detailní foto
B 119,Barnard 119,DN,19.2333,-0.1667,0,12.0,Aql,Temná mlhovina u rovníku
B 120,Barnard 120,DN,19.1000,2.0000,0,15.0,Aql,Temná mlhovina v Orlu vhodná pro široká pole
B 121,Barnard 121,DN,19.1333,2.5000,0,10.0,Aql,Slabší prachová skvrna vhodná pro detailní snímky
B 122,Barnard 122,DN,19.1667,3.0000,0,12.0,Aql,Temná mlhovina vhodná pro delší expozice
B 123,Barnard 123,DN,19.2000,3.5000,0,10.0,Aql,Malý temný zářez vhodný pro detailní foto
B 124,Barnard 124,DN,19.2333,4.0000,0,15.0,Aql,Temná mlhovina vhodná pro široká pole
B 125,Barnard 125,DN,19.2667,4.5000,0,12.0,Aql,Prachové mračno vhodné pro delší expozice
B 126,Barnard 126,DN,19.3000,5.0000,0,10.0,Aql,Temná skvrna vhodná pro detailní snímky
B 127,Barnard 127,DN,19.0333,-5.3333,0,15.0,Sct,Temná mlhovina ve Štítu vhodná pro široká pole
B 128,Barnard 128,DN,19.0667,-5.6667,0,12.0,Sct,Temná skvrna vhodná pro detailní foto
B 129,Barnard 129,DN,19.1000,-6.0000,0,15.0,Sct,Prachové mračno vhodné pro široká pole
B 130,Barnard 130,DN,19.1333,-6.3333,0,10.0,Sct,Temná mlhovina vhodná pro detailní snímky
B 131,Barnard 131,DN,19.1667,13.0000,0,20.0,Aql,Temná mlhovina v severním Orlu vhodná pro široká pole
B 132,Barnard 132,DN,19.2000,13.5000,0,12.0,Aql,Slabší prachová skvrna vhodná pro detailní foto
B 133,Barnard 133,DN,19.1017,-6.7667,0,10.0,Aql,Výrazná temná mlhovina vhodná pro kontrastní snímky
B 134,Barnard 134,DN,19.1167,14.0000,0,15.0,Aql,Temná mlhovina vhodná pro široká pole
B 135,Barnard 135,DN,19.1500,14.5000,0,12.0,Aql,Temná skvrna vhodná pro detailní foto
B 136,Barnard 136,DN,19.1833,15.0000,0,10.0,Aql,Prachová mlhovina vhodná pro delší expozice
B 137,Barnard 137,DN,19.2167,15.5000,0,15.0,Aql,Temná mlhovina vhodná pro široká pole
B 138,Barnard 138,DN,19.2500,16.0000,0,12.0,Aql,Temná skvrna vhodná pro detailní snímky
B 139,Barnard 139,DN,19.2833,16.5000,0,10.0,Aql,Prach v severním Orlu vhodný pro delší expozice
B 140,Barnard 140,DN,19.3167,17.0000,0,12.0,Aql,Temná mlhovina vhodná pro široká pole
