id,name,type,ra_hours,dec_deg,mag,size_arcmin,constellation,description
C1,NGC 188,OC,0.73333,85.25000,8.1,14,Cep,Starší otevřená hvězdokupa vhodná pro široká pole
C2,NGC 40 (Bowtie Nebula),PN,0.21667,72.51670,12.3,0.6,Cep,Planetární mlhovina s jemnou strukturou ideální pro detailní foto
C3,NGC 4236,GAL,12.27833,69.46670,9.7,21,Dra,Protažená spirální galaxie vhodná pro dlouhé expozice
C4,NGC 7023 (Iris Nebula),RN,21.03000,68.16670,6.8,18,Cep,Reflexní mlhovina s jemnými prachovými strukturami ideální pro foto
C5,IC 342 (Hidden Galaxy),GAL,3.782,+68.10,8.4,21.0,Cam,Skrytá spirála tlumená prachem Mléčné dráhy
C6,NGC 6543 (Cat's Eye Nebula),PN,17.97667,66.63330,8.1,0.3,Dra,Planetární mlhovina s výraznou strukturou ideální pro detailní snímky
C7,NGC 2403,GAL,7.61500,65.60000,8.4,23,Cam,Jasná spirální galaxie vhodná pro detailní foto
C8,NGC 559,OC,1.49167,63.30000,9.5,4,Cas,Kompaktní hvězdokupa vhodná pro střední ohniska
C9,Sh2-155 (Cave Nebula),EN,22.94667,62.30000,7.7,30,Cep,Temná mlhovina s emisními oblastmi ideální pro úzkopásmo
C10,NGC 663,OC,1.76667,61.21670,7.1,16,Cas,Hustá hvězdokupa vhodná pro detailní snímky
C11,NGC 7635 (Bubble Nebula),EN,23.34500,61.20000,10,15,Cas,Emisní mlhovina s výraznou bublinou ideální pro úzkopásmo
C12,NGC 6946 (Fireworks Galaxy),GAL,20.58167,60.15000,8.8,11,Cep,Galaxie s bohatými rameny ideální pro dlouhé expozice
C13,NGC 457 (Owl Cluster),OC,1.31667,58.33330,6.4,13,Cas,Charismatická hvězdokupa vhodná pro široká pole
C14,NGC 869 (Double Cluster),OC,2.31667,57.13330,4.3,30,Per,Dvojice bohatých hvězdokup ideální pro široká pole
C15,NGC 6826 (Blinking Planetary),PN,19.74667,50.51670,8.8,0.4,Cyg,Jasná planetární mlhovina vhodná pro detailní foto
C16,NGC 7243,OC,22.25500,49.88330,6.4,21,Lac,Řídká hvězdokupa vhodná pro široká pole
C17,NGC 147,GAL,0.55167,48.50000,9.3,13,Cas,Eliptická galaxie vhodná pro dlouhé expozice
C18,NGC 185,GAL,0.65000,48.33330,9.2,12,Cas,Kompaktní galaxie vhodná pro detailní snímky
C19,IC 5146 (Cocoon Nebula),EN,21.89167,47.26670,7.2,12,Cyg,Emisní mlhovina s temnými pásy ideální pro úzkopásmo
C20,NGC 7000 (North America Nebula),EN,20.98667,44.33330,4.0,120,Cyg,Obrovská emisní mlhovina ideální pro široká pole a úzkopásmo
C21,NGC 4449,GAL,12.47000,44.08330,9.4,6,CVn,Nepravidelná galaxie vhodná pro dlouhé expozice
C22,NGC 7662 (Blue Snowball),PN,23.43167,42.53330,8.3,0.5,And,Jasná planetární mlhovina ideální pro detailní foto
C23,NGC 891,GAL,2.37667,42.33330,10.0,13,And,Galaxie z boku s výrazným prachovým pásem ideální pro foto
C24,NGC 1275 (Perseus A),GAL,3.33000,41.51670,11.6,2,Per,Aktivní galaxie vhodná pro dlouhé expozice
C25,NGC 2419,GC,7.63500,38.88330,10.4,4,Lyn,Vzdálená kulová hvězdokupa vhodná pro detailní snímky
C26,NGC 4244,GAL,12.29167,37.80000,10.2,16,CVn,Protažená galaxie z boku ideální pro dlouhé expozice
C27,NGC 6888 (Crescent Nebula),EN,20.20000,38.35000,7.4,18,Cyg,Emisní mlhovina s výraznými oblouky ideální pro úzkopásmo
C28,NGC 752,OC,1.96333,37.68330,5.7,50,And,Velká řídká hvězdokupa vhodná pro široká pole
C29,NGC 5005,GAL,13.18167,37.05000,9.8,6,CVn,Spirální galaxie vhodná pro detailní expozice
C30,NGC 7331,GAL,22.61667,34.41670,9.5,10,Peg,Spirální galaxie s jemnými detaily ideální pro foto
C31,IC 405 (Flaming Star Nebula),EN,5.27000,34.26670,6.0,30,Aur,Reflexní a emisní mlhovina ideální pro široká pole
C32,NGC 4631 (Whale Galaxy),GAL,12.70167,32.53330,9.3,15,CVn,Protažená galaxie s výraznou strukturou ideální pro foto
C33,NGC 6992 (East Veil Nebula),SNR,20.93667,31.71670,7.0,60,Cyg,Vláknitá část Řas ideální pro úzkopásmové snímky
C34,NGC 6960 (West Veil Nebula),SNR,20.76000,30.70000,7.0,70,Cyg,Západní část Řas s výraznými filamenty ideální pro úzkopásmo
C35,NGC 4889,GAL,13.00000,27.96670,11.4,3,Com,Eliptická galaxie vhodná pro dlouhé expozice
C36,NGC 4559,GAL,12.59833,27.96670,9.9,11,Com,Spirální galaxie vhodná pro detailní foto
C37,NGC 6885,OC,20.20000,26.48330,6.0,20,Vul,Řídká hvězdokupa vhodná pro široká pole
