id,name,type,ra_hours,dec_deg,mag,size_arcmin,constellation,description
H1,NGC 40,PN,0.21667,72.51670,12.3,0.6,Cep,Planetární mlhovina s jemnou strukturou vhodná pro detailní úzkopásmo
H2,NGC 129,OC,0.50000,60.21670,6.5,21,Cas,Řídká hvězdokupa vhodná pro široká pole
H3,NGC 136,OC,0.52500,61.51670,11.5,1,Cas,Velmi malá hvězdokupa vhodná pro detailní snímky
H4,NGC 147,GAL,0.55167,48.50000,9.3,13,Cas,Eliptická galaxie vhodná pro dlouhé expozice
H5,NGC 151,GAL,0.56667,-9.71670,12.2,4,Cet,Slabší spirální galaxie vhodná pro delší expozice
H6,NGC 157,GAL,0.58333,-8.38330,10.4,4,Cet,Spirální galaxie vhodná pro detailní foto
H7,NGC 185,GAL,0.65000,48.33330,9.2,12,Cas,Kompaktní galaxie vhodná pro dlouhé expozice
H8,NGC 188,OC,0.73333,85.25000,8.1,14,Cep,Starší hvězdokupa vhodná pro široká pole
H9,NGC 225,OC,0.72333,61.78330,7.0,12,Cas,Řídká hvězdokupa vhodná pro široká pole
H10,NGC 246,PN,0.78333,-11.86670,8.0,4,Cet,Planetární mlhovina s filamenty vhodná pro úzkopásmo
H11,NGC 247,GAL,0.78500,-20.76670,8.9,21,Cet,Protažená galaxie vhodná pro dlouhé expozice
H12,NGC 253,GAL,0.79333,-25.28330,7.1,27,Scl,Jasná spirální galaxie ideální pro detailní foto
H13,NGC 278,GAL,0.86667,47.55000,10.7,2,Cas,Kompaktní spirální galaxie vhodná pro detailní snímky
H14,NGC 281,EN,0.88000,56.61670,7.4,35,Cas,Pacman mlhovina ideální pro úzkopásmo
H15,NGC 288,GC,0.89500,-26.58330,8.1,13,Scl,Řídká kulová hvězdokupa vhodná pro široká pole
H16,NGC 381,OC,1.13333,61.58330,9.3,6,Cas,Malá hvězdokupa vhodná pro střední ohniska
H17,NGC 404,GAL,1.15667,35.71670,10.1,3,And,Malá galaxie poblíž Mirachu vhodná pro detailní foto
H18,NGC 436,OC,1.25000,58.81670,8.8,5,Cas,Kompaktní hvězdokupa vhodná pro detailní snímky
H19,NGC 457,OC,1.31667,58.33330,6.4,13,Cas,Sova hvězdokupa ideální pro široká pole
H20,NGC 488,GAL,1.36333,5.25000,10.4,5,Psc,Symetrická spirální galaxie vhodná pro detailní foto
H21,NGC 524,GAL,1.41333,9.53330,10.4,3,Psc,Eliptická galaxie vhodná pro dlouhé expozice
H22,NGC 559,OC,1.49167,63.30000,9.5,4,Cas,Kompaktní hvězdokupa vhodná pro detailní snímky
H23,NGC 584,GAL,1.52167,-6.83330,10.5,4,Cet,Eliptická galaxie vhodná pro delší expozice
H24,NGC 596,GAL,1.54500,-7.03330,10.9,3,Cet,Malá galaxie vhodná pro detailní foto
H25,NGC 613,GAL,1.57167,-29.41670,10.1,5,Scl,Barred spirální galaxie vhodná pro dlouhé expozice
H26,NGC 615,GAL,1.58333,-7.33330,11.7,3,Cet,Slabší galaxie vhodná pro delší expozice
H27,NGC 637,OC,1.71667,64.03330,8.2,3,Cas,Malá hvězdokupa vhodná pro detailní snímky
H28,NGC 654,OC,1.73333,61.88330,6.5,5,Cas,Hustá hvězdokupa vhodná pro střední ohniska
H29,NGC 659,OC,1.73333,60.70000,7.9,5,Cas,Kompaktní hvězdokupa vhodná pro detailní foto
H30,NGC 663,OC,1.76667,61.21670,7.1,16,Cas,Bohatá hvězdokupa ideální pro široká pole
H31,NGC 720,GAL,1.88333,-13.73330,10.2,4,Cet,Eliptická galaxie vhodná pro dlouhé expozice
H32,NGC 752,OC,1.96333,37.68330,5.7,50,And,Velká řídká hvězdokupa ideální pro široká pole
H33,NGC 772,GAL,1.98833,19.01670,10.3,7,Ari,Asymetrická spirální galaxie vhodná pro detailní foto
H34,NGC 779,GAL,1.99500,-5.95000,11.2,4,Cet,Slabší galaxie vhodná pro delší expozice
H35,NGC 869,OC,2.31667,57.13330,4.3,30,Per,První část Double Clusteru ideální pro široká pole
H36,NGC 884,OC,2.37333,57.13330,4.4,30,Per,Druhá část Double Clusteru ideální pro široká pole
H37,NGC 891,GAL,2.37667,42.33330,10.0,13,And,Galaxie z boku s prachovým pásem ideální pro foto
H38,NGC 908,GAL,2.38333,-21.23330,10.2,6,Cet,Spirální galaxie vhodná pro dlouhé expozice
H39,NGC 936,GAL,2.46000,-1.15000,10.2,5,Cet,Barred galaxie vhodná pro detailní foto
H40,NGC 1022,GAL,2.64167,-6.66670,11.3,2,Cet,Malá spirální galaxie vhodná pro delší expozice
H41,NGC 1023,GAL,2.67333,39.06670,9.4,7,Per,Eliptická galaxie vhodná pro detailní snímky
H42,NGC 1027,OC,2.71667,61.55000,6.7,20,Cas,Řídká hvězdokupa vhodná pro široká pole
H43,NGC 1052,GAL,2.68333,-8.25000,10.5,3,Cet,Eliptická galaxie vhodná pro dlouhé expozice
H44,NGC 1055,GAL,2.69500,0.43330,10.6,8,Cet,Galaxie z boku s prachovým pásem ideální pro foto
H45,NGC 1084,GAL,2.76667,-7.56670,10.7,3,Cet,Spirální galaxie vhodná pro detailní snímky
H46,NGC 1245,OC,3.24500,47.23330,8.4,10,Per,Hvězdokupa vhodná pro střední ohniska
H47,NGC 1342,OC,3.52667,44.11670,6.7,14,Per,Řídká hvězdokupa vhodná pro široká pole
H48,NGC 1350,GAL,3.51833,-33.63330,10.4,5,For,Spirální galaxie vhodná pro dlouhé expozice
H49,NGC 1365,GAL,3.55667,-36.13330,9.6,11,For,Velká barred galaxie ideální pro detailní foto
H50,NGC 1407,GAL,3.67000,-18.58330,9.7,5,Eri,Eliptická galaxie vhodná pro dlouhé expozice
H51,NGC 1444,OC,3.82000,52.65000,6.6,4,Per,Malá hvězdokupa vhodná pro detailní snímky
H52,NGC 1501,PN,4.11667,60.91670,11.5,0.8,Cam,Planetární mlhovina s jemnou strukturou ideální pro detailní foto
H53,NGC 1502,OC,4.13000,62.33330,6.9,20,Cam,Jasná hvězdokupa vhodná pro široká pole
H54,NGC 1513,OC,4.16167,49.51670,8.4,9,Per,Malá hvězdokupa vhodná pro střední ohniska
H55,NGC 1528,OC,4.25667,51.23330,6.4,18,Per,Velká hvězdokupa ideální pro široká pole
H56,NGC 1535,PN,4.23667,-12.73330,9.6,0.7,Eri,Jasná planetární mlhovina vhodná pro detailní foto
H57,NGC 1545,OC,4.35167,50.25000,6.2,18,Per,Řídká hvězdokupa vhodná pro široká pole
H58,NGC 1647,OC,4.76667,19.03330,6.4,45,Tau,Velká hvězdokupa ideální pro široká pole
H59,NGC 1746,OC,5.06000,23.80000,6.1,42,Tau,Řídká hvězdokupa vhodná pro široká pole
H60,NGC 1788,RN,5.11500,-3.33330,9.0,8,Ori,Reflexní mlhovina vhodná pro barevné snímky
H61,NGC 1817,OC,5.20167,16.68330,7.7,16,Tau,Starší hvězdokupa vhodná pro střední ohniska
H62,NGC 1857,OC,5.33667,39.35000,7.0,6,Aur,Malá hvězdokupa vhodná pro detailní foto
H63,NGC 1907,OC,5.46667,35.31670,8.2,7,Aur,Kompaktní hvězdokupa vhodná pro střední ohniska
H64,NGC 1931,EN,5.52333,34.25000,10.1,4,Aur,Malá emisní mlhovina vhodná pro úzkopásmo
H65,NGC 1961,GAL,5.74333,69.38330,10.9,4,Cam,Spirální galaxie vhodná pro dlouhé expozice
H66,NGC 1964,GAL,5.55667,-21.95000,10.8,5,Lep,Spirální galaxie vhodná pro detailní foto
H67,NGC 1980,OC,5.59000,-5.90000,2.5,14,Ori,Jasná hvězdokupa poblíž M42 vhodná pro široká pole
H68,NGC 1999,RN,5.60667,-6.71670,9.5,2,Ori,Reflexní mlhovina s temnou skvrnou ideální pro barevné foto
H69,NGC 2022,PN,5.70333,9.08330,11.6,0.5,Ori,Malá planetární mlhovina vhodná pro detailní snímky
H70,NGC 2024,EN,5.69667,-1.90000,0,30,Ori,Flame Nebula ideální pro úzkopásmo
H71,NGC 2126,OC,6.04833,49.90000,10.2,6,Aur,Malá hvězdokupa vhodná pro detailní snímky
H72,NGC 2129,OC,6.01833,23.31670,6.7,7,Gem,Kompaktní hvězdokupa vhodná pro střední ohniska
H73,NGC 2141,OC,6.05000,10.43330,9.4,10,Ori,Starší hvězdokupa vhodná pro delší expozice
H74,NGC 2158,OC,6.12500,24.10000,8.6,5,Gem,Hustá hvězdokupa poblíž M35 vhodná pro detailní foto
H75,NGC 2169,OC,6.14000,13.95000,5.9,7,Ori,„37 Cluster“ vhodný pro široká pole
H76,NGC 2185,RN,6.18333,8.96670,0,4,Mon,Reflexní mlhovina vhodná pro barevné snímky
H77,NGC 2194,OC,6.23000,12.80000,8.5,10,Ori,Starší hvězdokupa vhodná pro střední ohniska
H78,NGC 2204,OC,6.26167,-18.65000,8.6,13,CMa,Řídká hvězdokupa vhodná pro široká pole
H79,NGC 2215,OC,6.34833,-7.28330,8.4,11,Mon,Malá hvězdokupa vhodná pro detailní foto
H80,NGC 2232,OC,6.44333,-4.75000,3.9,30,Mon,Jasná hvězdokupa ideální pro široká pole
H81,NGC 2237,EN,6.53833,4.96670,9.0,80,Mon,Část Rosetty ideální pro úzkopásmo
H82,NGC 2244,OC,6.54000,4.90000,4.8,24,Mon,Hvězdokupa v Rosetě vhodná pro široká pole
H83,NGC 2251,OC,6.57833,8.36670,7.3,10,Mon,Malá hvězdokupa vhodná pro střední ohniska
H84,NGC 2261,RN,6.65333,8.73330,9.0,2,Mon,Hubbleova proměnná mlhovina ideální pro dlouhé expozice
H85,NGC 2264,OC,6.68500,9.88330,3.9,40,Mon,Christmas Tree Cluster ideální pro široká pole
H86,NGC 2266,OC,6.72000,26.96670,9.5,7,Gem,Malá hvězdokupa vhodná pro detailní foto
H87,NGC 2273,GAL,6.83333,60.83330,11.6,4,Lyn,Slabší galaxie vhodná pro delší expozice
H88,NGC 2281,OC,6.81167,41.06670,5.4,15,Aur,Jasná hvězdokupa vhodná pro široká pole
H89,NGC 2286,OC,6.79333,-3.16670,7.5,15,Mon,Řídká hvězdokupa vhodná pro široká pole
H90,NGC 2301,OC,6.86333,0.46670,6.0,12,Mon,Jasná hvězdokupa vhodná pro střední ohniska
H91,NGC 2304,OC,6.91833,18.00000,10.0,3,Gem,Malá hvězdokupa vhodná pro detailní snímky
H92,NGC 2311,OC,6.96333,-4.61670,9.6,7,Mon,Kompaktní hvězdokupa vhodná pro střední ohniska
H93,NGC 2324,OC,7.06833,1.03330,8.4,12,Mon,Řídká hvězdokupa vhodná pro široká pole
H94,NGC 2335,OC,7.11167,-10.03330,7.2,12,Mon,Hvězdokupa vhodná pro střední ohniska
H95,NGC 2343,OC,7.13500,-10.61670,6.7,7,Mon,Malá hvězdokupa vhodná pro detailní foto
H96,NGC 2353,OC,7.24333,-10.26670,7.1,20,Mon,Řídká hvězdokupa vhodná pro široká pole
H97,NGC 2354,OC,7.23667,-25.68330,6.5,20,CMa,Velká hvězdokupa vhodná pro široká pole
H98,NGC 2355,OC,7.28333,13.78330,9.7,7,Gem,Starší hvězdokupa vhodná pro detailní snímky
H99,NGC 2359,EN,7.31000,-13.23330,11.5,10,CMa,Thorova přilba ideální pro úzkopásmo
H100,NGC 2360,OC,7.29667,-15.63330,7.2,13,CMa,Řídká hvězdokupa vhodná pro široká pole
H101,NGC 2362,OC,7.31333,-24.95000,4.1,8,CMa,Jasná hvězdokupa ideální pro široká pole
H102,NGC 2371,PN,7.42667,29.41670,11.2,1,Gem,Planetární mlhovina vhodná pro detailní úzkopásmo
H103,NGC 2392,PN,7.48500,20.91670,9.1,0.8,Gem,Eskymák ideální pro detailní foto
H104,NGC 2395,OC,7.45167,13.58330,8.0,12,Gem,Řídká hvězdokupa vhodná pro široká pole
H105,NGC 2403,GAL,7.61500,65.60000,8.4,23,Cam,Jasná spirální galaxie ideální pro detailní foto
H106,NGC 2419,GC,7.63500,38.88330,10.4,4,Lyn,Vzdálená kulová hvězdokupa vhodná pro dlouhé expozice
H107,NGC 2420,OC,7.64167,21.56670,8.3,10,Gem,Starší hvězdokupa vhodná pro střední ohniska
H108,NGC 2421,OC,7.60500,-20.61670,8.3,10,Pup,Malá hvězdokupa vhodná pro detailní foto
H109,NGC 2422 (M47),OC,7.61000,-14.50000,4.4,30,Pup,Jasná hvězdokupa ideální pro široká pole
H110,NGC 2423,OC,7.61833,-13.85000,6.7,19,Pup,Řídká hvězdokupa vhodná pro široká pole
H111,NGC 2438,PN,7.69667,-14.73330,10.8,1,Pup,Planetární mlhovina uvnitř M46 vhodná pro detailní foto
H112,NGC 2440,PN,7.69667,-18.21670,9.4,1,Pup,Jasná planetární mlhovina vhodná pro úzkopásmo
H113,NGC 2479,OC,7.84167,-17.71670,9.6,7,Pup,Malá hvězdokupa vhodná pro detailní snímky
H114,NGC 2482,OC,7.91833,-24.30000,7.3,12,Pup,Řídká hvězdokupa vhodná pro široká pole
H115,NGC 2489,OC,7.93667,-30.05000,7.9,6,Pup,Kompaktní hvězdokupa vhodná pro detailní foto
H116,NGC 2506,OC,8.00167,-10.78330,7.6,7,Mon,Starší hvězdokupa vhodná pro střední ohniska
H117,NGC 2509,OC,8.01167,-19.06670,9.3,3,Pup,Malá hvězdokupa vhodná pro detailní snímky
H118,NGC 2527,OC,8.08333,-28.15000,6.5,22,Pup,Řídká hvězdokupa vhodná pro široká pole
H119,NGC 2533,OC,8.11667,-29.86670,7.6,4,Pup,Malá hvězdokupa vhodná pro detailní foto
H120,NGC 2539,OC,8.17833,-12.83330,6.5,22,Pup,Velká hvězdokupa vhodná pro široká pole
H121,NGC 2548 (M48),OC,8.23000,-5.75000,5.8,54,Hya,Jasná hvězdokupa ideální pro široká pole
H122,NGC 2567,OC,8.31000,-21.46670,7.4,11,Pup,Malá hvězdokupa vhodná pro detailní snímky
H123,NGC 2571,OC,8.31500,-29.73330,7.0,13,Pup,Řídká hvězdokupa vhodná pro široká pole
H124,NGC 2613,GAL,8.55667,-22.96670,10.4,7,Pyx,Protažená galaxie vhodná pro dlouhé expozice
H125,NGC 2627,OC,8.62000,-29.95000,8.4,9,Pyx,Malá hvězdokupa vhodná pro detailní foto
H126,NGC 2655,GAL,8.92667,78.21670,10.1,5,Cam,Spirální galaxie vhodná pro delší expozice
H127,NGC 2681,GAL,8.89167,51.31670,10.2,4,UMa,Barred galaxie vhodná pro detailní snímky
H128,NGC 2683,GAL,8.87833,33.41670,9.8,9,Lyn,Galaxie z boku ideální pro detailní foto
H129,NGC 2742,GAL,9.12667,60.46670,11.4,3,UMa,Slabší spirální galaxie vhodná pro delší expozice
H130,NGC 2768,GAL,9.19167,60.03330,9.9,8,UMa,Eliptická galaxie vhodná pro dlouhé expozice
H131,NGC 2775,GAL,9.17167,7.03330,10.3,4,Cnc,Spirální galaxie s jemnou strukturou vhodná pro foto
H132,NGC 2782,GAL,9.23333,40.11670,11.6,4,Lyn,Interagující galaxie vhodná pro delší expozice
H133,NGC 2787,GAL,9.32167,69.20000,10.8,3,UMa,Barred galaxie vhodná pro detailní snímky
H134,NGC 2811,GAL,9.26833,-16.30000,11.4,2,Hya,Malá galaxie vhodná pro delší expozice
H135,NGC 2841,GAL,9.36667,50.96670,9.2,8,UMa,Jasná spirální galaxie ideální pro detailní foto
H136,NGC 2859,GAL,9.40333,34.51670,10.9,4,LMi,Barred galaxie vhodná pro delší expozice
H137,NGC 2903,GAL,9.53333,21.50000,9.0,12,Leo,Jasná spirální galaxie ideální pro detailní snímky
H138,NGC 2964,GAL,9.71500,31.13330,11.2,3,Leo,Slabší galaxie vhodná pro delší expozice
H139,NGC 2974,GAL,9.70833,-3.68330,10.9,3,Sex,Eliptická galaxie vhodná pro dlouhé expozice
H140,NGC 2976,GAL,9.78500,67.91670,10.1,6,UMa,Protažená galaxie vhodná pro detailní foto
H141,NGC 2985,GAL,9.84000,72.28330,10.4,5,UMa,Spirální galaxie s jemnou strukturou vhodná pro detailní foto
H142,NGC 3003,GAL,9.81167,33.41670,11.8,6,LMi,Protažená spirální galaxie vhodná pro delší expozice
H143,NGC 3077,GAL,10.05500,68.73330,9.9,5,UMa,Interagující galaxie vhodná pro detailní snímky
H144,NGC 3079,GAL,10.03167,55.68330,10.8,8,UMa,Protažená galaxie s prachovým pásem ideální pro foto
H145,NGC 3115,GAL,10.08667,-7.71670,9.2,7,Sex,Galaxie z boku vhodná pro detailní expozice
H146,NGC 3147,GAL,10.28167,73.40000,10.6,4,Dra,Spirální galaxie vhodná pro dlouhé expozice
H147,NGC 3166,GAL,10.23167,13.41670,10.4,5,Leo,Eliptická galaxie vhodná pro detailní foto
H148,NGC 3169,GAL,10.23667,13.46670,10.2,4,Leo,Interagující galaxie vhodná pro delší expozice
H149,NGC 3184,GAL,10.30500,41.41670,9.6,7,UMa,Jemná spirální galaxie ideální pro detailní foto
H150,NGC 3190,GAL,10.30167,19.83330,11.1,4,Leo,Protažená galaxie vhodná pro delší expozice
H151,NGC 3193,GAL,10.30667,19.88330,10.8,3,Leo,Eliptická galaxie vhodná pro dlouhé expozice
H152,NGC 3198,GAL,10.33167,45.55000,10.2,9,UMa,Spirální galaxie vhodná pro detailní snímky
H153,NGC 3226,GAL,10.39167,19.88330,11.4,3,Leo,Interagující galaxie vhodná pro delší expozice
H154,NGC 3227,GAL,10.39167,19.86670,10.4,5,Leo,Spirální galaxie vhodná pro detailní foto
H155,NGC 3242,PN,10.41333,-18.63330,7.8,0.7,Hya,Jasná planetární mlhovina ideální pro detailní úzkopásmo
H156,NGC 3245,GAL,10.45333,28.50000,10.7,3,LMi,Eliptická galaxie vhodná pro delší expozice
H157,NGC 3277,GAL,10.54833,28.51670,11.7,2,LMi,Malá galaxie vhodná pro detailní foto
H158,NGC 3294,GAL,10.60333,37.31670,11.2,3,LMi,Spirální galaxie vhodná pro delší expozice
H159,NGC 3310,GAL,10.64500,53.50000,10.6,3,UMa,Starburst galaxie vhodná pro detailní snímky
H160,NGC 3344,GAL,10.72500,24.91670,9.7,7,LMi,Jasná spirální galaxie ideální pro detailní foto
H161,NGC 3377,GAL,10.79500,13.98330,10.4,5,Leo,Eliptická galaxie vhodná pro dlouhé expozice
H162,NGC 3379 (M105),GAL,10.79667,12.58330,9.3,5,Leo,Jasná eliptická galaxie ideální pro detailní foto
H163,NGC 3384,GAL,10.80333,12.63330,9.9,5,Leo,Eliptická galaxie vhodná pro delší expozice
H164,NGC 3395,GAL,10.83000,32.98330,12.1,2,LMi,Interagující galaxie vhodná pro dlouhé expozice
H165,NGC 3412,GAL,10.85000,13.41670,10.5,4,Leo,Barred galaxie vhodná pro detailní foto
H166,NGC 3414,GAL,10.85500,27.98330,11.0,3,LMi,Eliptická galaxie vhodná pro delší expozice
H167,NGC 3432,GAL,10.87500,36.61670,11.1,7,LMi,Protažená galaxie vhodná pro detailní snímky
H168,NGC 3486,GAL,11.00667,28.98330,10.3,7,LMi,Spirální galaxie vhodná pro detailní foto
H169,NGC 3489,GAL,11.00333,13.90000,10.2,4,Leo,Barred galaxie vhodná pro delší expozice
H170,NGC 3504,GAL,11.05333,27.96670,10.9,3,LMi,Malá spirální galaxie vhodná pro detailní snímky
H171,NGC 3521,GAL,11.09667,-0.03330,9.0,11,Leo,Jasná spirální galaxie ideální pro detailní foto
H172,NGC 3607,GAL,11.28167,18.05000,9.9,5,Leo,Eliptická galaxie vhodná pro dlouhé expozice
H173,NGC 3608,GAL,11.28833,18.15000,10.8,3,Leo,Eliptická galaxie vhodná pro detailní snímky
H174,NGC 3610,GAL,11.30667,58.78330,10.8,3,UMa,Eliptická galaxie vhodná pro delší expozice
H175,NGC 3613,GAL,11.31000,58.00000,10.9,4,UMa,Eliptická galaxie vhodná pro detailní foto
H176,NGC 3619,GAL,11.32167,57.75000,11.5,3,UMa,Malá galaxie vhodná pro delší expozice
H177,NGC 3621,GAL,11.30333,-32.81670,9.7,12,Hya,Protažená spirální galaxie vhodná pro detailní foto
H178,NGC 3623 (M65),GAL,11.31500,13.10000,9.3,10,Leo,Jasná spirální galaxie ideální pro detailní snímky
H179,NGC 3626,GAL,11.33333,18.35000,10.9,3,Leo,Barred galaxie vhodná pro delší expozice
H180,NGC 3627 (M66),GAL,11.33667,12.98330,8.9,9,Leo,Jasná spirální galaxie ideální pro detailní foto
H181,NGC 3628,GAL,11.33833,13.60000,9.5,15,Leo,Galaxie z boku s prachovým pásem ideální pro foto
H182,NGC 3631,GAL,11.35000,53.16670,10.1,5,UMa,Spirální galaxie vhodná pro detailní snímky
H183,NGC 3640,GAL,11.35167,3.23330,10.3,4,Leo,Eliptická galaxie vhodná pro dlouhé expozice
H184,NGC 3655,GAL,11.38167,16.58330,11.7,2,Leo,Malá spirální galaxie vhodná pro delší expozice
H185,NGC 3665,GAL,11.41167,38.76670,10.7,4,UMa,Eliptická galaxie vhodná pro detailní foto
