id,name,type,ra_hours,dec_deg,mag,size_arcmin,constellation,description
M1,NGC 1952 (Crab Nebula),SNR,5.57556,22.01450,8.4,6,Tau,Jasná filamentární struktura ideální pro úzkopásmo a dlouhé expozice
M2,NGC 7089,GC,21.54833,-0.82330,6.5,12,Aqr,Hustá kulová hvězdokupa vhodná pro detailní snímky s vysokým rozlišením
M3,NGC 5272,GC,13.70333,28.37780,6.2,16,Com,Jasná kulová hvězdokupa s bohatým halem ideální pro dlouhé expozice
M4,NGC 6121,GC,16.41167,-26.52500,5.6,26,Sco,Velká kulová hvězdokupa s výrazným jádrem vhodná pro široká pole
M5,NGC 5904,GC,15.31000,2.08190,5.7,17,Ser,Jasná kulová hvězdokupa s jemnou strukturou ideální pro detailní foto
M6,NGC 6405 (Butterfly Cluster),OC,17.65667,-32.21670,4.2,25,Sco,Barevná otevřená hvězdokupa vhodná pro širokoúhlé snímky
M7,NGC 6475 (Ptolemy Cluster),OC,17.89667,-34.80000,3.3,80,Sco,Velká hvězdokupa ideální pro široká pole a bohaté hvězdné pozadí
M8,NGC 6523 (Lagoon Nebula),EN,18.05000,-24.38330,5.0,90,Sgr,Jasná emisní mlhovina s temnými pásy ideální pro širokoúhlé snímky
M9,NGC 6333,GC,17.31000,-18.51670,7.7,9,Oph,Kompaktní kulová hvězdokupa vhodná pro detailní expozice
M10,NGC 6254,GC,16.95167,-4.10000,6.6,20,Oph,Jasná kulová hvězdokupa s dobře definovaným jádrem vhodná pro detailní foto
M11,NGC 6705 (Wild Duck Cluster),OC,18.85167,-6.26670,6.3,14,Sct,Hustá hvězdokupa ideální pro snímky s vysokým rozlišením
M12,NGC 6218,GC,16.78750,-1.95000,6.7,14,Oph,Řídká kulová hvězdokupa vhodná pro středně široká pole
M13,Great Hercules Cluster – NGC 6205,GC,16.69500,36.46670,5.8,20,Her,Husté jádro a jemné halo ideální pro detailní dlouhé expozice
M14,NGC 6402,GC,17.62667,-3.25000,7.6,11,Oph,Kompaktní kulová hvězdokupa vhodná pro detailní snímky
M15,NGC 7078,GC,21.50000,12.16670,6.2,12,Peg,Husté jádro ideální pro snímky s vysokým rozlišením
M16,NGC 6611 (Eagle Nebula],EN,18.31333,-13.78330,6.0,7,Ser,Emisní mlhovina s ikonickými strukturami ideální pro úzkopásmo
M17,NGC 6618 (Omega Nebula),EN,18.33667,-16.18330,6.0,11,Sgr,Jasná emisní mlhovina vhodná pro široká pole i detailní foto
M18,NGC 6613,OC,18.33667,-17.10000,7.5,9,Sgr,Malá hvězdokupa vhodná pro širokoúhlé kompozice
M19,NGC 6273,GC,17.04333,-26.26670,6.8,13,Oph,Protažená kulová hvězdokupa vhodná pro detailní snímky
M20,NGC 6514 (Trifid Nebula),EN,18.04167,-23.01670,6.3,28,Sgr,Kombinace emisní a reflexní mlhoviny ideální pro barevné kompozice
